Pos,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts
M,Özil,7.0,7.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,5.0,5.0,Arsenal,1,0.043,2,0.087,1,0.021,2,0.09,1,0.017,1,0.037,1,0.025,1,0.045
D,David Luiz,5.5,5.5,Arsenal,36,1.565,51,2.225,70,1.357,67,3.047,64,0.996,65,2.371,61,1.454,60,2.729
M,Aubameyang,12.0,12.0,Arsenal,83,6.62,79,6.521,78,3.871,76,5.653,77,3.72,73,5.081,76,4.185,76,6.428
D,Cédric,5.0,5.0,Arsenal,18,0.859,20,0.958,20,0.454,20,0.992,20,0.376,22,0.888,22,0.596,19,0.946
F,Lacazette,8.5,8.5,Arsenal,54,3.578,57,3.901,53,2.413,53,3.272,51,2.284,52,3.086,51,2.53,48,3.389
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,14,0.351,16,0.754
G,Leno,5.0,5.0,Arsenal,79,3.615,77,3.473,78,2.821,79,3.746,78,2.794,78,3.3,76,2.837,76,3.503
M,Xhaka,5.5,5.5,Arsenal,81,2.625,79,2.655,75,1.906,75,2.497,74,1.845,74,2.268,71,1.903,71,2.473
D,Marí,4.5,4.5,Arsenal,0,0,0,0,16,0.311,20,0.869,26,0.401,24,0.834,26,0.603,25,1.067
D,Bellerín,5.0,5.0,Arsenal,71,3.377,69,3.293,68,1.504,68,3.348,68,1.234,66,2.651,65,1.733,67,3.335
G,Martínez,4.5,4.5,Arsenal,10,0.458,12,0.543,11,0.393,10,0.474,11,0.39,11,0.464,12,0.444,13,0.601
D,Chambers,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Kolasinac,5.0,5.0,Arsenal,41,1.743,40,1.705,32,0.626,31,1.401,33,0.517,30,1.077,29,0.69,29,1.294
D,Maitland-Niles,5.0,5.0,Arsenal,2,0.093,3,0.14,2,0.047,2,0.096,2,0.04,2,0.08,3,0.083,2,0.097
D,Holding,4.5,4.5,Arsenal,39,1.723,35,1.551,26,0.547,30,1.391,28,0.48,26,0.975,27,0.68,25,1.153
D,Tierney,5.5,5.5,Arsenal,75,3.658,74,3.575,70,1.571,74,3.687,70,1.285,72,2.927,70,1.897,67,3.382
M,Pépé,8.0,8.0,Arsenal,58,3.546,54,3.41,53,2.208,57,3.294,53,2.152,54,2.92,53,2.366,51,3.301
M,Torreira,5.0,5.0,Arsenal,28,1.089,31,1.237,32,0.983,32,1.24,34,1.021,30,1.085,33,1.05,35,1.415
M,Willock,5.0,5.0,Arsenal,19,1.252,20,1.362,21,0.951,23,1.43,23,1.011,23,1.349,22,1.059,24,1.654
M,Nelson,5.5,5.5,Arsenal,7,0.438,7,0.451,8,0.351,9,0.533,8,0.345,9,0.5,9,0.419,10,0.653
F,Nketiah,6.0,6.0,Arsenal,31,1.997,28,1.863,30,1.385,31,1.86,30,1.362,31,1.792,31,1.527,34,2.275
M,Smith Rowe,4.5,4.5,Arsenal,0,0,0,0,1,0.034,1,0.041,2,0.068,1,0.039,1,0.036,2,0.085
M,Saka,5.5,5.5,Arsenal,34,1.566,37,1.755,39,1.353,34,1.53,38,1.297,40,1.679,39,1.424,39,1.874
M,Guendouzi,5.0,5.0,Arsenal,5,0.179,6,0.222,8,0.241,9,0.326,9,0.268,10,0.342,10,0.309,9,0.336
M,Martinelli,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Saliba,4.5,4.5,Arsenal,38,1.703,36,1.593,25,0.546,29,1.349,25,0.45,30,1.136,26,0.676,26,1.196
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,43,1.54,65,2.537,87,3.335,87,3.053
D,El Mohamady,4.5,4.5,Aston Villa,0,0,45,1.836,43,1.7,48,0.865,46,1.199,49,1.779,45,1.576,46,1.051
M,Lansbury,4.5,4.5,Aston Villa,0,0,6,0.221,6,0.225,6,0.193,8,0.27,11,0.403,9,0.327,9,0.298
D,Taylor,4.5,4.5,Aston Villa,0,0,18,0.615,19,0.631,19,0.293,22,0.491,20,0.62,23,0.685,26,0.505
G,Steer,4.0,4.0,Aston Villa,0,0,43,1.769,42,1.678,41,1.43,21,0.75,11,0.426,1,0.038,1,0.035
M,Hourihane,6.0,6.0,Aston Villa,0,0,62,2.363,62,2.433,61,1.908,60,2.028,59,2.247,60,2.252,58,1.912
M,Jota,6.0,6.0,Aston Villa,0,0,19,0.878,19,0.915,20,0.761,22,0.898,23,1.064,21,0.961,24,0.952
G,Nyland,4.0,4.0,Aston Villa,0,0,46,1.951,47,1.945,48,1.716,25,0.917,12,0.48,1,0.04,1,0.036
D,Engels,4.5,4.5,Aston Villa,0,0,21,0.76,22,0.777,24,0.391,27,0.636,27,0.885,30,0.95,26,0.536
M,Grealish,7.0,7.0,Aston Villa,0,0,82,4.012,79,4.044,78,2.881,79,3.225,76,3.731,74,3.597,74,2.928
M,McGinn,5.5,5.5,Aston Villa,0,0,76,2.888,77,3.005,77,2.4,71,2.412,74,2.797,73,2.753,73,2.412
D,Hause,4.5,4.5,Aston Villa,0,0,45,1.682,43,1.575,46,0.776,43,1.052,44,1.498,43,1.407,44,0.943
M,Trézéguet,5.5,5.5,Aston Villa,0,0,59,2.819,56,2.777,57,2.137,56,2.294,54,2.576,58,2.747,57,2.262
D,Mings,5.0,5.0,Aston Villa,0,0,77,2.661,77,2.575,73,1.04,73,1.581,74,2.293,72,2.14,72,1.343
D,Targett,4.5,4.5,Aston Villa,0,0,76,2.806,75,2.696,75,1.194,73,1.723,73,2.43,70,2.24,68,1.401
D,Bree,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Nakamba,4.5,4.5,Aston Villa,0,0,27,0.876,28,0.912,29,0.828,30,0.888,30,0.957,33,1.039,33,0.956
M,El Ghazi,6.0,6.0,Aston Villa,0,0,33,1.745,37,2.048,38,1.566,39,1.754,40,2.106,35,1.831,39,1.702
D,Konsa,4.5,4.5,Aston Villa,0,0,56,2.105,57,2.096,57,0.938,55,1.331,53,1.807,53,1.737,53,1.12
D,Guilbert,4.5,4.5,Aston Villa,0,0,24,0.826,27,0.901,23,0.339,26,0.569,24,0.745,26,0.775,25,0.474
F,Wesley,6.0,6.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Samatta,6.0,6.0,Aston Villa,0,0,52,2.449,48,2.395,54,2.081,51,2.129,48,2.318,51,2.423,51,2.081
F,Davis,4.5,4.5,Aston Villa,0,0,30,1.639,34,1.939,27,1.198,30,1.43,33,1.82,32,1.746,29,1.336
F,Vassilev,4.5,4.5,Aston Villa,0,0,2,0.083,2,0.086,2,0.075,3,0.117,4,0.166,4,0.166,4,0.153
M,Douglas Luiz,5.0,5.0,Aston Villa,0,0,79,2.467,77,2.445,75,1.979,75,2.101,73,2.281,76,2.314,74,2.02
F,Murray,5.0,5.0,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Lallana,6.5,6.5,Brighton,25,0.914,29,1.138,26,0.943,27,1.018,27,1.101,27,1.213,29,1.049,29,1.263
M,Stephens,4.5,4.5,Brighton,66,1.78,65,1.91,63,1.702,65,1.815,63,1.89,63,1.982,63,1.711,59,1.858
G,Button,4.0,4.0,West Brom,0,0,1,0.036,1,0.035,2,0.073,2,0.081,4,0.15,2,0.079,2,0.072
M,Groß,6.0,6.0,Brighton,35,1.519,37,1.761,35,1.485,35,1.572,37,1.882,36,2.068,34,1.445,37,2.014
D,Duffy,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Pröpper,5.0,5.0,Brighton,65,1.972,62,2.045,65,1.954,65,2.028,65,2.182,65,2.33,62,1.874,59,2.093
M,Mooy,5.0,5.0,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Burn,4.5,4.5,Brighton,70,1.662,69,2.459,68,1.557,67,1.924,69,2.516,67,2.74,66,1.637,68,2.816
D,Dunk,5.0,5.0,Brighton,84,1.988,81,2.933,80,1.811,81,2.332,79,2.951,78,3.272,79,1.942,75,3.206
D,Montoya,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Andone,5.0,5.0,Brighton,13,0.611,15,0.759,16,0.734,19,0.916,16,0.865,19,1.164,18,0.817,18,1.033
M,March,5.0,5.0,Brighton,19,0.746,22,0.916,19,0.733,21,0.842,22,0.954,23,1.103,25,0.955,25,1.149
D,Webster,4.5,4.5,Brighton,61,1.466,60,2.168,59,1.375,59,1.72,59,2.174,62,2.504,59,1.491,59,2.449
D,Veltman,4.5,4.5,Brighton,56,1.285,54,1.879,55,1.224,55,1.544,57,2.008,52,1.996,53,1.289,55,2.184
F,Maupay,6.5,6.5,Brighton,80,3.468,76,3.611,76,3.228,72,3.28,73,3.764,73,4.341,72,3.046,72,3.995
M,Trossard,6.0,6.0,Brighton,59,2.547,61,2.922,61,2.554,61,2.731,60,3.042,57,3.287,56,2.354,59,3.254
G,Ryan,4.5,4.5,Brighton,90,3.288,89,3.757,88,3.235,87,3.368,87,3.707,87,3.76,87,3.256,87,3.869
M,Jahanbakhsh,5.5,5.5,Brighton,6,0.248,5,0.219,7,0.284,6,0.253,7,0.322,7,0.361,8,0.322,9,0.446
M,Izquierdo,5.5,5.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Clarke,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,White,4.5,4.5,Brighton,28,0.679,33,1.192,36,0.842,34,0.995,31,1.14,35,1.406,34,0.865,37,1.529
D,Bernardo,4.0,4.0,Brighton,12,0.314,11,0.417,12,0.303,13,0.403,13,0.51,14,0.606,16,0.432,15,0.658
M,Bissouma,4.5,4.5,Brighton,61,1.76,60,1.888,60,1.724,57,1.714,58,1.876,58,1.999,59,1.702,61,2.06
D,Lamptey,4.5,4.5,Brighton,49,1.268,45,1.739,47,1.178,47,1.466,45,1.811,47,2.094,47,1.268,44,1.988
F,Connolly,5.5,5.5,Brighton,47,1.948,44,1.962,44,1.795,46,1.943,47,2.195,47,2.472,44,1.78,43,2.149
M,Alzate,4.5,4.5,Brighton,16,0.553,18,0.656,21,0.712,18,0.632,20,0.75,22,0.886,23,0.778,22,0.865
M,Mac Allister,5.5,5.5,Brighton,38,1.432,42,1.691,39,1.441,38,1.474,39,1.634,37,1.722,40,1.479,39,1.746
D,Tarkowski,5.5,5.5,Burnley,0,0,85,2.04,84,2.811,84,2.884,82,2.768,80,2.181,79,1.735,78,2.519
D,Bardsley,4.5,4.5,Burnley,0,0,69,1.421,70,2.066,67,2.037,70,2.06,67,1.589,70,1.307,66,1.88
D,Pieters,4.5,4.5,Burnley,0,0,72,1.806,70,2.442,70,2.497,68,2.399,70,1.985,70,1.609,70,2.347
M,Cork,5.0,5.0,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Long,4.5,4.5,Burnley,0,0,85,1.965,84,2.694,83,2.737,81,2.612,81,2.123,78,1.654,79,2.457
F,Rodriguez,6.0,6.0,Burnley,0,0,73,2.848,70,3.176,71,3.062,67,3.223,69,2.821,68,2.644,67,2.901
F,Barnes,6.0,6.0,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Mee,5.0,5.0,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Westwood,5.5,5.5,Burnley,0,0,84,2.447,81,2.635,81,2.585,81,2.698,77,2.357,78,2.271,76,2.423
M,Gudmundsson,5.5,5.5,Burnley,0,0,20,0.8,19,0.844,23,0.986,25,1.151,27,1.098,28,1.076,29,1.217
F,Wood,6.5,6.5,Burnley,0,0,72,3.283,71,3.828,72,3.666,69,3.962,68,3.296,69,3.101,68,3.474
D,Lowton,4.5,4.5,Burnley,0,0,30,0.693,30,0.949,34,1.106,34,1.078,38,0.986,36,0.759,41,1.255
F,Vydra,5.0,5.0,Burnley,0,0,25,1.207,27,1.498,23,1.229,29,1.694,30,1.502,28,1.32,31,1.626
D,Gibson,4.0,4.0,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Brady,5.0,5.0,Burnley,0,0,23,0.909,31,1.356,32,1.357,34,1.548,35,1.405,38,1.443,34,1.428
G,Pope,5.5,5.5,Burnley,0,0,88,3.322,89,3.689,87,3.626,86,3.531,86,3.331,86,3.181,87,3.541
D,Taylor,4.5,4.5,Burnley,0,0,84,1.849,83,2.539,80,2.537,80,2.438,79,1.974,80,1.602,78,2.323
M,Brownhill,5.0,5.0,Burnley,0,0,82,2.202,80,2.353,77,2.266,77,2.323,76,2.126,75,2.023,77,2.237
G,Peacock-Farrell,4.0,4.0,Burnley,0,0,1,0.036,1,0.04,4,0.161,4,0.157,6,0.223,7,0.248,6,0.235
M,McNeil,6.0,6.0,Burnley,0,0,81,2.782,79,3.058,79,2.979,78,3.148,76,2.73,74,2.532,75,2.823
G,Caballero,5.0,5.0,Chelsea,2,0.089,2,0.075,5,0.227,6,0.294,5,0.228,4,0.151,5,0.232,7,0.339
D,Azpilicueta,6.0,6.0,Chelsea,76,3.529,75,2.232,72,3.603,71,3.925,73,3.584,71,2.147,69,3.475,70,3.714
F,Giroud,7.0,7.0,Chelsea,9,0.584,10,0.551,10,0.728,10,0.732,8,0.55,8,0.441,10,0.678,9,0.606
D,Alonso,6.0,6.0,Chelsea,73,3.734,73,2.369,69,3.886,71,4.414,68,3.739,68,2.237,69,3.875,65,3.846
M,Jorginho,5.0,5.0,Chelsea,55,2.077,39,1.305,37,1.592,37,1.639,39,1.616,37,1.242,37,1.542,38,1.597
M,Barkley,6.0,6.0,Chelsea,23,1.09,17,0.691,11,0.572,15,0.798,17,0.843,17,0.688,17,0.839,17,0.848
M,Kovacic,5.5,5.5,Chelsea,0,0,41,1.284,45,1.695,38,1.498,40,1.492,39,1.224,41,1.528,39,1.481
F,Batshuayi,6.0,6.0,Chelsea,1,0.057,2,0.098,1,0.063,0,0,1,0.06,1,0.049,1,0.059,1,0.061
D,Rüdiger,5.0,5.0,Chelsea,72,2.918,64,1.654,63,2.753,60,2.952,63,2.741,63,1.653,62,2.761,60,2.865
D,Zouma,5.0,5.0,Chelsea,65,2.72,58,1.579,57,2.556,53,2.659,55,2.449,50,1.388,49,2.238,50,2.428
D,Emerson,5.0,5.0,Chelsea,7,0.333,7,0.224,9,0.463,9,0.508,10,0.505,9,0.291,9,0.464,11,0.592
G,Arrizabalaga,5.0,5.0,Chelsea,87,3.727,87,3.145,84,3.663,83,3.905,83,3.641,85,3.102,84,3.751,82,3.826
M,Kanté,5.0,5.0,Chelsea,82,2.931,76,2.354,73,2.868,75,3.052,71,2.721,72,2.248,72,2.766,70,2.731
M,Ziyech,8.0,8.0,Chelsea,0,0,0,0,24,1.843,44,3.415,54,3.814,54,2.913,54,3.816,51,3.589
M,Loftus-Cheek,6.0,6.0,Chelsea,24,1.108,15,0.607,17,0.846,14,0.713,16,0.764,20,0.805,18,0.862,17,0.817
D,Christensen,5.0,5.0,Chelsea,15,0.607,16,0.429,11,0.473,13,0.624,11,0.471,13,0.355,14,0.615,14,0.654
F,Werner,9.5,9.5,Chelsea,74,5.709,72,4.514,68,6.036,69,6.172,68,5.578,68,4.288,67,5.481,66,5.309
F,Abraham,7.5,7.5,Chelsea,9,0.61,10,0.571,9,0.682,9,0.686,8,0.569,8,0.462,10,0.704,9,0.628
M,Pulisic,8.5,8.5,Chelsea,58,3.585,72,3.52,70,4.79,71,4.975,69,4.44,67,3.307,68,4.381,65,4.183
M,Mount,7.0,7.0,Chelsea,54,2.743,47,1.98,46,2.582,42,2.438,41,2.197,41,1.741,39,2.097,39,2.099
D,Tomori,5.0,5.0,Chelsea,2,0.087,2,0.059,2,0.094,2,0.104,3,0.139,3,0.089,2,0.095,4,0.2
M,Hudson-Odoi,6.0,6.0,Chelsea,45,2.371,40,1.767,34,1.996,28,1.683,21,1.183,24,1.087,25,1.403,26,1.456
D,James,5.0,5.0,Chelsea,56,2.805,54,1.732,54,2.925,49,2.938,47,2.502,51,1.658,53,2.877,50,2.86
M,Gilmour,4.5,4.5,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.263
D,Cahill,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Hennessey,4.5,4.5,Crystal Palace,0,0,0,0,1,0.039,1,0.035,2,0.082,4,0.166,5,0.186,4,0.16
D,Sakho,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Guaita,5.0,5.0,Crystal Palace,90,3.679,89,3.132,88,3.418,88,3.079,87,3.586,87,3.613,87,3.243,86,3.445
D,Tomkins,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,McArthur,5.5,5.5,Crystal Palace,74,2.507,67,1.941,70,2.315,70,2.023,68,2.386,67,2.39,68,2.104,66,2.281
M,McCarthy,4.5,4.5,Crystal Palace,62,2.011,63,1.749,63,1.985,64,1.783,65,2.136,62,2.07,62,1.832,62,2.021
F,Benteke,5.5,5.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Kouyaté,5.0,5.0,Crystal Palace,77,2.356,74,1.968,73,2.187,74,1.98,74,2.314,74,2.331,74,2.09,70,2.175
D,Ward,4.5,4.5,Crystal Palace,87,2.888,84,1.254,82,2.422,81,1.392,80,2.757,78,2.729,79,2.027,81,2.64
D,Kelly,4.5,4.5,Crystal Palace,29,0.98,35,0.546,36,1.081,38,0.674,37,1.292,41,1.444,40,1.045,40,1.318
F,Wickham,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Townsend,6.0,6.0,Crystal Palace,69,2.898,66,2.267,67,2.709,62,2.151,64,2.737,64,2.812,63,2.334,64,2.716
M,Milivojevic,6.0,6.0,Crystal Palace,59,2.191,58,1.775,58,2.087,56,1.729,54,2.066,58,2.245,57,1.871,55,2.072
D,van Aanholt,5.5,5.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Ayew,6.0,6.0,Crystal Palace,80,3.478,78,2.739,76,3.203,75,2.642,74,3.328,73,3.384,72,2.687,72,3.209
M,Zaha,7.0,7.0,Crystal Palace,80,3.374,76,2.584,72,2.96,73,2.514,71,3.147,69,3.141,70,2.592,70,3.048
M,Schlupp,5.5,5.5,Crystal Palace,32,1.365,30,1.07,30,1.238,33,1.17,33,1.417,32,1.411,32,1.206,33,1.404
M,Meyer,5.0,5.0,Crystal Palace,3,0.121,5,0.172,5,0.191,6,0.208,7,0.278,8,0.321,8,0.286,9,0.356
M,Riedewald,4.5,4.5,Crystal Palace,26,0.89,27,0.814,34,1.116,29,0.873,34,1.158,32,1.103,31,0.971,37,1.241
D,Ferguson,4.0,4.0,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Mitchell,4.0,4.0,Crystal Palace,68,2.154,69,0.941,64,1.794,64,1.02,67,2.2,65,2.161,68,1.647,62,1.923
M,Pierrick,4.5,4.5,Crystal Palace,24,1.079,22,0.823,23,0.998,24,0.896,25,1.14,28,1.313,27,1.061,27,1.215
M,Walcott,6.0,6.0,Everton,30,1.263,31,1.8,32,1.621,29,1.499,24,0.989,30,1.421,29,1.416,31,1.336
M,Delph,5.0,5.0,Everton,17,0.508,22,0.747,31,0.982,34,1.091,34,0.947,33,0.996,35,1.089,38,1.082
M,Sigurdsson,7.0,7.0,Everton,47,1.961,47,2.775,47,2.407,46,2.407,49,1.979,50,2.367,46,2.265,51,2.179
G,Lössl,4.5,4.5,Everton,0,0,0,0,0,0,0,0,1,0.036,1,0.041,1,0.044,2,0.075
D,Coleman,5.0,5.0,Everton,64,1.829,61,2.867,63,2.689,64,2.861,60,1.397,59,2.133,59,2.477,56,1.558
F,Tosun,6.0,6.0,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Bernard,6.0,6.0,Everton,17,0.647,22,1.1,19,0.844,19,0.861,21,0.773,20,0.823,18,0.774,21,0.811
D,Digne,6.0,6.0,Everton,86,2.696,84,4.556,81,3.911,80,4.033,78,2.016,80,3.271,80,3.747,76,2.346
D,Keane,5.0,5.0,Everton,87,2.394,82,3.697,82,3.378,78,3.369,76,1.688,77,2.658,78,3.171,75,1.993
G,Pickford,5.0,5.0,Everton,89,3.318,89,3.917,88,3.782,88,3.867,87,3.096,86,3.471,87,3.732,86,3.164
M,André Gomes,5.5,5.5,Everton,60,1.627,58,1.909,52,1.615,56,1.753,53,1.415,55,1.618,55,1.676,53,1.47
M,Iwobi,6.0,6.0,Everton,21,0.859,23,1.247,26,1.249,23,1.129,23,0.911,23,1.037,24,1.111,25,1.039
D,Kenny,4.5,4.5,Everton,27,0.757,31,1.408,29,1.205,27,1.172,29,0.665,31,1.088,32,1.312,34,0.925
M,Gbamin,5.0,5.0,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Mina,5.5,5.5,Everton,67,1.857,52,2.437,46,1.945,42,1.863,40,0.909,37,1.306,36,1.493,41,1.117
M,Davies,5.5,5.5,Everton,43,1.252,41,1.44,40,1.305,41,1.361,41,1.159,42,1.295,39,1.254,37,1.091
F,Calvert-Lewin,7.0,7.0,Everton,74,3.075,72,4.439,70,3.666,71,3.786,69,2.845,67,3.271,63,3.184,67,3.006
D,Holgate,5.0,5.0,Everton,12,0.327,34,1.493,46,1.846,60,2.521,64,1.353,64,2.133,65,2.557,62,1.581
F,Richarlison,8.0,8.0,Everton,69,2.696,65,3.642,64,3.079,64,3.138,66,2.542,62,2.789,63,2.899,61,2.533
G,Virgínia,4.5,4.5,Everton,0,0,0,0,0,0,0,0,1,0.035,1,0.04,1,0.043,1,0.037
M,Gordon,4.5,4.5,Everton,8,0.34,8,0.461,8,0.403,9,0.462,11,0.452,9,0.428,13,0.631,10,0.434
F,Kean,6.0,6.0,Everton,21,0.987,23,1.549,24,1.381,24,1.409,24,1.101,28,1.491,29,1.581,25,1.227
D,Branthwaite,4.0,4.0,Everton,18,0.49,16,0.694,14,0.562,11,0.459,14,0.313,12,0.408,12,0.474,15,0.397
G,Fabri,4.0,4.0,Fulham,0,0,0,0,1,0.039,1,0.036,2,0.077,1,0.041,4,0.158,3,0.111
M,McDonald,5.0,5.0,Fulham,2,0.07,2,0.07,3,0.113,4,0.136,4,0.141,3,0.112,4,0.152,5,0.179
D,Le Marchand,4.5,4.5,Fulham,9,0.202,15,0.409,20,0.653,23,0.546,25,0.733,28,0.969,28,0.933,26,0.697
M,Johansen,5.0,5.0,Fulham,26,0.931,27,0.979,28,1.135,28,0.955,29,1.047,28,1.122,29,1.204,29,1.089
M,Cairney,5.5,5.5,Fulham,62,2.307,60,2.282,59,2.568,59,2.098,57,2.182,56,2.421,63,2.811,60,2.383
D,Ream,4.5,4.5,Fulham,87,1.908,85,2.323,81,2.659,83,1.984,80,2.375,77,2.695,78,2.615,80,2.153
M,Knockaert,5.5,5.5,Fulham,79,2.841,78,2.872,76,3.258,73,2.519,73,2.722,72,3.072,69,3.097,70,2.756
D,Hector,4.5,4.5,Fulham,85,1.935,85,2.391,82,2.824,79,1.926,79,2.405,77,2.815,78,2.772,79,2.215
D,Christie,4.5,4.5,Fulham,84,1.758,80,2.102,79,2.536,79,1.792,78,2.226,77,2.631,74,2.435,74,1.927
M,Kebano,5.0,5.0,Fulham,16,0.678,21,0.895,19,0.934,20,0.798,23,0.978,21,1.016,24,1.204,23,1.026
F,Decordova-Reid,5.5,5.5,Fulham,30,1.258,34,1.412,37,1.766,37,1.429,36,1.489,38,1.774,39,1.908,40,1.742
D,Bryan,5.0,5.0,Fulham,87,2.268,85,2.674,84,3.347,80,2.163,79,2.673,80,3.369,79,3.26,78,2.491
G,Bettinelli,4.5,4.5,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Mitrović,6.0,6.0,Fulham,80,3.724,75,3.531,73,4.234,75,3.163,74,3.481,69,3.915,71,4.29,71,3.679
D,Mawson,4.5,4.5,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Rodák,4.5,4.5,Fulham,89,3.169,90,3.353,88,3.444,88,3.187,87,3.362,88,3.569,86,3.402,86,3.176
M,Cavaleiro,5.5,5.5,Fulham,64,2.411,57,2.212,64,2.851,59,2.118,58,2.248,62,2.734,56,2.593,55,2.246
M,Onomah,5.0,5.0,Fulham,49,1.868,50,1.937,46,2.053,48,1.738,50,1.937,48,2.111,48,2.203,48,1.951
M,Seri,5.0,5.0,Fulham,59,2.099,58,2.105,55,2.267,58,1.975,56,2.048,59,2.392,56,2.375,56,2.126
M,Kamara,5.0,5.0,Fulham,10,0.454,12,0.548,12,0.651,14,0.586,12,0.546,15,0.799,16,0.897,17,0.821
M,Anguissa,4.5,4.5,Fulham,52,1.607,52,1.639,53,1.792,50,1.528,51,1.627,52,1.767,47,1.625,51,1.641
D,Sessegnon,4.5,4.5,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Hernández,6.0,6.0,Leeds,73,2.472,69,3.481,71,2.971,68,2.378,69,2.83,68,3.112,67,2.803,65,2.965
G,Casilla,4.5,4.5,Leeds,40,1.401,43,1.94,47,1.947,45,1.579,45,1.799,43,1.73,43,1.658,47,1.953
D,Cooper,4.5,4.5,Leeds,83,1.223,83,3.717,81,2.88,78,1.178,78,2.591,79,2.745,77,2.381,74,2.745
D,Douglas,4.0,4.0,Leeds,3,0.054,6,0.283,7,0.264,8,0.142,8,0.282,9,0.338,12,0.399,11,0.439
D,Ayling,4.5,4.5,Leeds,87,1.641,83,4.553,81,3.472,81,1.58,81,3.236,79,3.463,78,2.955,77,3.522
M,Klich,5.5,5.5,Leeds,66,2.12,64,2.98,64,2.499,64,2.103,63,2.415,60,2.532,62,2.417,62,2.585
M,Forshaw,5.0,5.0,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Dallas,4.5,4.5,Leeds,74,1.556,72,4.23,72,3.308,73,1.582,70,3.022,69,3.268,67,2.771,70,3.444
D,Alioski,4.5,4.5,Leeds,29,0.618,31,1.833,32,1.466,33,0.722,35,1.501,35,1.662,35,1.448,36,1.771
F,Bamford,5.5,5.5,Leeds,49,1.942,47,2.653,49,2.33,45,1.844,46,2.165,46,2.432,50,2.411,44,2.284
M,Harrison,5.5,5.5,Leeds,79,2.643,76,3.692,76,3.11,73,2.519,72,2.901,72,3.202,73,2.976,70,3.089
M,Phillips,5.0,5.0,Leeds,52,1.39,56,1.897,51,1.576,50,1.356,48,1.469,50,1.588,53,1.603,49,1.565
M,Costa,5.5,5.5,Leeds,77,2.412,74,3.376,75,2.866,75,2.405,73,2.744,71,2.931,73,2.784,69,2.833
M,Roberts,5.0,5.0,Leeds,22,0.846,26,1.425,24,1.106,23,0.901,25,1.127,27,1.353,25,1.151,27,1.336
M,Grot,5.0,5.0,Leeds,5,0.161,5,0.193,7,0.249,7,0.228,9,0.317,8,0.293,8,0.282,10,0.365
G,Miazek,4.0,4.0,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Poveda-Ocampo,4.5,4.5,Leeds,5,0.167,5,0.209,6,0.225,7,0.237,8,0.297,8,0.313,6,0.224,9,0.35
